Variable	Value
Description	Expose control over layer legend splitting behavior on a layer-by-layer basis
Author	nyalldawson
Milestone	3.14.0
Datetime	2020-05-06T06:27:33Z
PR	[36224](https://github.com/qgis/QGIS/pull/36224)
tags	FeaturePrint;Layouts
Description	allow editing of links in file widget
Author	3nids
Milestone	3.14.0
Datetime	2020-05-06T04:46:55Z
PR	[36190](https://github.com/qgis/QGIS/pull/36190)
tags	FeatureNeeds;Documentation
Description	Snap on mesh elements
Author	vcloarec
Milestone	3.14.0
Datetime	2020-05-05T11:31:50Z
PR	[36171](https://github.com/qgis/QGIS/pull/36171)
tags	APIFeatureMesh
Description	Allow filtering WM(T)S list in source dialog
Author	3nids
Milestone	3.14.0
Datetime	2020-05-05T05:21:00Z
PR	[36166](https://github.com/qgis/QGIS/pull/36166)
tags	FeatureNeeds;Documentation
Description	Allow overriding the default symbol for a legend node
Author	nyalldawson
Milestone	3.14.0
Datetime	2020-05-05T01:49:07Z
PR	[36162](https://github.com/qgis/QGIS/pull/36162)
tags	FeaturePrint;Layouts
Description	Allow placing manual column breaks in legends
Author	nyalldawson
Milestone	3.14.0
Datetime	2020-05-05T14:22:28Z
PR	[36136](https://github.com/qgis/QGIS/pull/36136)
tags	Feature
Description	Add subdivisions in ticksscalebar right segments
Author	agiudiceandrea
Milestone	3.14.0
Datetime	2020-05-05T23:12:37Z
PR	[36131](https://github.com/qgis/QGIS/pull/36131)
tags	FeaturePrint;Layouts
Description	Complete random raster algorithm collection #2
Author	root676
Milestone	3.14.0
Datetime	2020-05-03T20:28:46Z
PR	[36130](https://github.com/qgis/QGIS/pull/36130)
tags	FeatureNeeds;Documentation
Description	Automatic placement of labels outside polygons
Author	nyalldawson
Milestone	3.14.0
Datetime	2020-05-03T19:38:49Z
PR	[36106](https://github.com/qgis/QGIS/pull/36106)
tags	FeatureLabeling
